node_id,process_time
2 1,0.021924734115600586
3 1,0.0260159969329834
1 1,0.016393661499023438
1 2,0.016820669174194336
1 3,0.05227065086364746
2 2,0.013303995132446289
2 3,0.013304471969604492
1 4,0.013416290283203125
1 5,0.005057811737060547
3 2,0.01466679573059082
1 6,0.019976377487182617
3 3,0.018093585968017578
2 4,0.01659393310546875
3 4,0.01673436164855957
3 5,0.01617288589477539
2 5,0.01720905303955078
2 6,0.016715526580810547
1 7,0.01821112632751465
1 8,0.015193700790405273
1 9,0.01689934730529785
1 10,0.015540599822998047
2 7,0.014605283737182617
1 11,0.015486717224121094
3 6,0.016759395599365234
1 12,0.010460376739501953
2 8,0.009770631790161133
